year,internet_usage_pct,social_media_usage_pct,avg_time_online_hours,social_media_time_share_pct,internet_users_percent,daily_internet_users,internet_addiction_index,stress_from_devices,youth_online_activity,avg_screen_time_hours,juvenile_offenders_share_pct
2015,70.1,62.0,2.2,31.0,71.0,51.0,10.0,8.0,76.0,5.0,5.2
2016,73.1,65.0,2.4,33.0,71.0,53.0,11.0,9.0,82.0,5.2,4.8
2017,76.0,68.0,2.7,35.0,75.0,56.0,12.0,10.0,90.0,5.5,4.4
2018,80.9,72.0,3.0,38.0,80.0,62.0,14.0,11.0,95.0,6.0,4.4
2019,82.6,75.0,3.3,40.0,82.0,65.0,18.0,13.0,96.0,6.2,4.3
2020,83.7,79.0,3.7,42.0,85.0,69.0,24.0,18.0,97.0,7.0,3.9
2021,84.0,84.0,4.0,44.0,88.0,72.0,32.0,20.0,98.0,8.0,3.4
2022,88.0,85.0,4.2,45.0,88.0,72.0,32.0,20.0,98.0,8.0,3.2
2023,92.25,86.0,4.4,46.0,88.0,72.0,32.0,20.0,98.0,8.0,3.0
2024,94.36,85.0,4.5,47.0,88.0,72.0,32.0,20.0,98.0,8.0,3.2
