region,juvenile_offenders_share_pct,digital_deviation_risk_index,internet_active_users_2023_pct,internet_active_users_2024_pct,internet_active_users_2025_pct,school_students_share_2023_pct,registered_crimes_2025,registered_crimes_per_100k_2025,underage_criminals_per_100k_pop,population_2024,life_quality_2025,healthy_lifestyle_pct,gini_coeff,not_smoking_male_pct,not_smoking_female_pct,num_of_criminals,num_of_alcohol_crimes,num_of_female_crimes,num_of_drugs_crimes,num_of_underaged_criminals,life_quality,population_size,num_of_crimes,school_students_share_2021_pct,school_students_share_2022_pct,population_2019_2024_avg,registered_crimes_2023,registered_crimes_2024,it_diplomas_per_100k_2023,it_diplomas_per_100k_2024,it_diplomas_per_100k_2025,life_quality_2024,life_quality_avg
Белгородская область,0.2431333333333333,22.425753785944362,84.4,92.4,95.7,11,13369.0,890.8752754623135,10.040033523049985,1500659.0,61.792,9.35,0.377,61.69095724698137,93.291798982137,5613.166666666667,1719.0,932.3333333333334,36.0,150.66666666666666,63.719,1529301.3333333333,14502.2,10.844698038342775,11.074634908940387,1529301.3333333333,16099.0,14388.0,0.52,0.59,0.67,65.646,63.719
Брянская область,0.3257333333333334,33.87387031925723,87.6,92.5,92.7,11.3,13354.0,1168.9384841089493,14.209800852704765,1142404.0,55.615,8.2,0.3703999999999999,63.15878744441576,91.56605478143813,6419.833333333333,2317.6666666666665,1244.6666666666667,21.83333333333333,162.33333333333334,55.529,1166264.3333333333,13860.6,11.063351582411338,11.291005336435878,1166264.3333333333,14082.0,14116.0,0.51,0.52,0.26,55.443,55.528999999999996
Владимирская область,0.3962666666666666,39.36374828344569,87.5,90,91.1,11.4,14684.0,1120.9656610750706,16.171199437328774,1309942.0,57.179,9.6,0.3379999999999999,59.17274982147103,90.11833821645877,6128.333333333333,2229.333333333333,1053.8333333333333,21.166666666666668,211.8333333333333,56.349500000000006,1342524.1666666667,15843.0,10.84550735003039,11.206755895949666,1342524.1666666667,15986.0,16043.0,0.45,0.45,0.46,55.52,56.349500000000006
Воронежская область,0.3917666666666666,33.73071362142539,90.7,93.8,93.8,11.2,21106.0,928.3822545533881,14.801508038340524,2273417.0,67.119,11.2,0.3936,60.338851189250576,91.61833609145008,9996.0,2800.0,1660.5,140.16666666666666,336.5,66.592,2303798.0,26951.0,10.488077897908619,10.918011983755873,2303798.0,28302.0,25335.0,0.31,0.66,0.79,66.065,66.592
Ивановская область,0.5000833333333333,57.72169618049152,94.2,93.7,95.6,11.5,11120.0,1227.5085550281487,21.06560694705081,905900.0,57.044,9.533333333333331,0.3616,60.59752848848922,90.74576788033484,4691.0,1881.0,883.3333333333334,18.666666666666668,190.8333333333333,55.613,928797.0,11731.2,10.989943877013008,11.34935733037266,928797.0,11794.0,11887.0,1.02,0.33,0.77,54.182,55.613
Калужская область,0.4812833333333333,37.30959476747618,82,89.7,86.6,11.5,10927.0,1022.7347179453579,17.658639161620222,1068410.0,65.579,7.316666666666666,0.3476,60.914047687473456,91.3615292384731,4215.0,1512.0,786.0,37.333333333333336,188.66666666666663,65.7655,1063600.1666666667,13414.8,11.020455318089144,11.298278503091538,1063600.1666666667,13295.0,12235.0,0.89,0.75,0.66,65.952,65.7655
Костромская область,0.4498,50.091497688722406,86.1,90.7,92,13.2,7200.0,1271.4872515743484,21.044291316566188,566266.0,50.783,8.716666666666667,0.3522,57.45715293278037,91.65740633228349,3139.333333333333,1278.5,551.8333333333334,14.5,119.16666666666669,50.0335,581548.0,8171.8,12.602449104286356,13.00233911653368,581548.0,8559.0,7985.0,0.81,0.52,1.06,49.284,50.033500000000004
Курская область,0.3223499999999999,28.091608443093683,89.5,94.4,94.4,11.4,9915.0,934.5908914385253,12.86653118319301,1060892.0,59.671,7.183333333333334,0.3674,60.82424892753187,89.16857411207768,5219.0,1917.1666666666667,904.3333333333334,34.833333333333336,136.5,60.060500000000005,1079887.0,12396.2,10.968311101054343,11.311721123844787,1079887.0,12936.0,12144.0,0.28,0.75,0.19,60.45,60.060500000000005
Липецкая область,0.3792999999999999,37.62190028972236,89.8,92.7,92.9,11.4,11869.0,1063.2779850662703,16.095341757258954,1116265.0,64.939,11.65,0.3783999999999999,59.80651155070655,92.25729956741034,5332.166666666667,1498.6666666666667,998.8333333333334,21.83333333333333,179.66666666666666,64.1775,1138346.5,13320.6,10.925354247493498,11.226386911979194,1138346.5,14184.0,13537.0,0.45,0.53,1.43,63.416,64.1775
Московская область,0.2041333333333333,18.790999246981027,93.4,95.6,97.5,12.5,68265.0,789.0758109223398,7.2282341917054085,8651260.0,81.842,8.416666666666666,0.3702,63.59643615083012,88.10885988911585,35716.0,6449.166666666667,6523.0,510.0,625.3333333333334,81.531,8506201.333333334,71209.2,11.69845318026531,12.126689702733131,8506201.333333334,70273.0,69674.0,4.83,5.13,6.36,81.22,81.531
