internet_usage_pct,social_media_usage_pct,avg_time_online_hours,social_media_time_share_pct,internet_users_percent,daily_internet_users,internet_addiction_index,stress_from_devices,youth_online_activity,avg_screen_time_hours
69.25,56.04,4.07,53.46,68.79,45.73,42.7,39.69,58.44,4.34
60.33,45.47,3.43,52.77,50.98,43.59,35.89,39.71,57.25,4.78
57.45,61.42,4.16,49.45,68.74,50.11,52.56,42.61,64.11,4.35
42.36,29.53,1.2,26.08,42.89,28.47,5.88,5.35,38.19,1.87
43.95,23.86,2.74,27.86,44.46,14.87,13.27,3.83,18.86,2.5
36.95,25.42,1.27,17.35,34.16,18.19,11.35,16.03,22.42,3.09
57.77,60.11,5.0,50.71,59.17,45.72,48.22,49.04,54.77,5.9
60.31,47.97,3.11,42.56,71.11,53.66,41.38,28.32,48.56,4.23
76.54,72.75,9.3,85.14,97.16,73.09,60.87,98.07,73.79,7.72
73.03,73.22,10.88,81.21,77.64,95.94,76.68,76.95,98.0,6.73
66.25,49.29,5.14,45.25,52.77,41.45,46.71,30.19,55.19,6.18
26.09,19.54,1.27,14.99,39.28,20.41,4.08,10.1,28.09,1.22
78.27,67.97,11.2,71.71,95.52,88.21,64.44,63.72,94.17,8.21
64.69,44.98,3.66,34.33,56.24,54.19,52.58,31.08,56.09,5.36
79.83,92.38,10.15,70.75,95.55,70.88,56.19,81.13,99.82,6.58
93.81,84.38,6.68,68.51,90.64,87.9,75.13,66.06,91.38,7.52
76.0,68.0,2.7,35.0,75.0,56.0,12.0,10.0,90.0,5.5
77.37,87.73,10.22,64.23,97.77,94.49,93.33,66.02,70.57,12.55
48.28,17.99,1.03,11.75,41.45,20.47,20.04,15.75,23.34,2.98
55.73,49.42,3.58,42.52,65.03,43.48,36.93,52.91,43.26,4.69
92.03,82.42,8.29,71.07,82.76,77.49,59.95,59.41,93.18,9.51
61.28,51.96,3.09,54.03,52.27,38.99,34.64,26.97,53.83,4.85
75.61,98.21,7.99,87.55,99.31,65.99,84.67,94.34,88.66,9.39
27.69,37.9,1.26,10.75,38.87,19.27,21.26,18.36,22.93,3.1
94.62,87.0,10.7,93.0,82.39,66.35,65.94,75.27,98.32,9.02
59.0,55.84,5.24,42.22,54.33,47.05,38.64,28.93,46.23,5.32
